ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.666298476428508,0.6114517856349613,0.48943783466300766,0.6170698869347,0.6118594451960487,0.3584838738743866,0.729278640236261,0.8999737597329974,0.6544923294135118,0
0.7662754191803218,0.40081089245798174,0.3983189174943006,0.4257141910725811,0.3871752607308204,0.4364233407614719,0.3411659003393409,0.09646565421204743,0.5230107697922326,0
0.3139840154570706,0.4464681511805591,0.6412549906854071,0.5519919274798064,0.46667974504875087,0.1748615148604732,0.16294144505787875,0.36593168486394645,0.16316861393678178,0
0.912173508802816,0.8247925301643958,0.6412781978024553,0.5480122996375181,0.788612349421753,0.18192204160619346,0.4670760594254026,0.714942675232668,0.1900684325208701,0
0.7074366732883166,0.5417367556922932,0.3011667294407939,0.17479638794556984,0.3543694077840538,0.6054049651071778,0.3866192491022669,0.45858111470250956,0.6005063314263024,0
0.5430286346596934,0.3021710016934773,0.7248058123090546,0.552729671301121,0.46642017355675863,0.49624045783251713,0.568480308336978,0.6460057638208948,0.42499033220098725,0
0.5119811338337649,0.24635905055214954,0.4152781597886244,0.05374248808587871,0.25360735989878797,0.3239953551015985,0.5878189798287976,0.6549499552841042,0.37357136083207787,0
0.4123787155761955,0.43646252782590067,0.9190838234897806,0.8157031286413294,0.6483927901828969,0.6988491179548335,0.34012211559823413,0.6028768635318691,0.594551632949828,0
0.777793257876664,0.9877629460056162,0.5350693254148541,0.4710493212565565,0.8111388319923682,0.6128719502430403,0.444372750558442,0.5603845192867356,0.6247835176746454,0
0.5443707836903028,0.6122318558555502,0.57091283576803,0.1583088812201525,0.5102997086286951,0.5949970972158583,0.3948206312603695,0.4585689838384627,0.16330893500750887,0
0.45272497324795613,0.3196629524364386,0.6907836498112055,0.3387058415171892,0.390996641387811,0.7142133700744338,0.698115093023545,0.626046145612389,0.44574675872384806,0
0.29028929783327106,0.145280377063861,0.38224921125119316,0.8697496399298392,0.47475330133411153,0.6015604252462307,0.32413094936125203,0.38961055502758773,0.7010386498032591,0
0.43392790151191174,0.5126515278578141,0.471398382129388,0.6944358589782137,0.4518674694780066,0.4694218937048528,0.5297262297823128,0.6590303488702509,0.7903478036851956,0
0.038207280426417536,0.5706356416512033,0.7467350498949225,0.7085036307898074,0.7422033746337233,0.532616165739825,0.4679905516965103,0.07632147756155473,0.5489704843652067,0
0.5199261188257506,0.5813939912426392,0.33554726992944756,0.3558979502696988,0.522708862311382,0.31156794528324067,0.13601849042870814,0.5613320180840532,0.7637461001397937,0
0.9391744095990503,0.0,0.49639620856957534,0.629994365202198,0.3755051005861719,0.46874856419498667,0.4163497172842225,0.4930895340431582,0.7562542986406463,0
0.5499272394230109,0.7423186570763267,0.7271345923254244,0.4635812451818864,0.7574303957700549,0.46652317078351135,0.2670521905900567,0.24332435707574998,0.3058633983011822,0
0.25361171122469933,0.4695089411900648,0.43534816092916634,0.3642510791433609,0.4530210863177715,0.5325330101302923,0.3077732960212555,0.29915698017677345,0.48193300860049265,0
